customer_id,name,phone,address,area,customer_type,first_purchase_date
1,Raghav Raju,9965984448,"19, Balan Street",Civil Lines,retail,
2,Wazir Verma,9175133802,"097, Choudhury Circle",Sikandarpur,retail,
3,Yamini Grewal,9233815413,"H.No. 917, Bath Zila",Kotwali,retail,
4,Hardik Comar,9450236225,"43/962, Atwal Zila",Rasra Road,contractor,
5,Nimrat Mahal,9813962536,"71
Chaudhuri Road",Rasra Road,retail,
6,Lavanya Bala,9423142470,"22/459
Sethi Nagar",Kotwali,contractor,
7,Viraj Mohan,9561588882,"09/61, Jaggi Zila",Gai Ghat,retail,
8,Baghyawati Bassi,9574765466,"142, Mittal Path",Rasra Road,retail,
9,Parth Rajagopalan,9404713332,"43/108, Bali Ganj",Gai Ghat,contractor,
10,Neha Pillay,9906528433,"463, Boase Street",Civil Lines,retail,
11,Hardik Dey,9149621604,"50/568, Varghese Chowk",Sikta Mohalla,retail,
12,Daksh Mane,9776205431,"11/85, Menon Chowk",Dubhar,retail,
13,Aryan Bera,9258453521,,Sikta Mohalla,retail,
14,Ucchal Shetty,9334978881,"H.No. 472
Halder Circle",Bansdih,contractor,
15,Victor Mangat,9698509918,"47/520
Chahal Marg",Reoti,retail,
16,Gaurangi Dugar,9598906879,"94
Mahajan Marg",Sikandarpur,retail,
17,Rushil Tella,9910943524,"16
Palan Ganj",Bansdih,retail,
18,Sara Joshi,9688273030,"H.No. 174, Jaggi Circle",Reoti,retail,
19,Warinder Sharaf,9907214179,"762
Chahal Nagar",Bansdih,retail,
20,Yagnesh Prabhu,9356888294,,Kotwali,retail,
21,Tripti Sha,9460613550,"H.No. 41
Chowdhury",Rasra Road,retail,
22,Lila Acharya,9511281012,"23
Iyengar Circle",Sikta Mohalla,retail,
23,Vinaya Kadakia,9455281184,"61, Sathe",Civil Lines,retail,
24,Watika Menon,9518197538,"H.No. 63, Bhandari Street",Mau Bazar,painter,
25,Yuvraj Soni,9922050912,"40
Sagar Chowk",Gai Ghat,painter,
26,Yasti Master,9518744974,"897, Dhar Nagar",Dubhar,retail,
27,Ishani Khalsa,9888807316,"H.No. 95
Kashyap Marg",Civil Lines,retail,
28,Darsh Din,9393062061,,Gai Ghat,retail,
29,Anusha Bhattacharyya,9956998797,"H.No. 84, Cheema Chowk",Reoti,contractor,
30,Bhavna Muni,9768143326,"H.No. 99, Saraf Street",Sikandarpur,painter,
31,Ranveer Banik,9129100607,"H.No. 255, Kalita Nagar",Reoti,contractor,
32,Mitesh Raj,9379340713,"643, Keer Chowk",Gai Ghat,retail,
