customer_id,name,phone,address,area,customer_type,first_purchase_date,is_valid_phone,clv,purchase_frequency,recency,avg_basket_size,customer_segment,repeat_customer_flag
1,Raghav Raju,9965984448,"19, Balan Street",Civil Lines,retail,2023-05-17,1,4460.73,8.0,86,5807.5256,Promising,1
2,Wazir Verma,9175133802,"097, Choudhury Circle",Sikandarpur,retail,2023-12-25,1,6376.55,5.0,274,8465.70434,Lost,1
3,Yamini Grewal,9233815413,"H.No. 917, Bath Zila",Kotwali,retail,2023-08-25,1,25673.32,8.0,139,8439.82,Loyal Customers,1
4,Hardik Comar,9450236225,"43/962, Atwal Zila",Rasra Road,contractor,2023-06-07,1,15834.57,7.0,2,14017.0612,Loyal Customers,1
5,Nimrat Mahal,9813962536,"71
Chaudhuri Road",Rasra Road,retail,2023-10-10,1,3839.3900000000003,3.0,104,5672.84,Need Attention,1
6,Lavanya Bala,9423142470,"22/459
Sethi Nagar",Kotwali,contractor,2023-04-08,1,15326.730000000001,11.0,39,7607.929963636363,Champions,1
7,Viraj Mohan,9561588882,"09/61, Jaggi Zila",Gai Ghat,retail,2023-04-08,1,14833.05,8.0,188,15534.5318625,Loyal Customers,1
8,Baghyawati Bassi,9574765466,"142, Mittal Path",Rasra Road,retail,2025-01-24,1,4854.04,4.0,19,7108.17,Promising,1
9,Parth Rajagopalan,9404713332,"43/108, Bali Ganj",Gai Ghat,contractor,2024-01-23,1,5448.29,5.0,286,7569.06028,Lost,1
10,Neha Pillay,9906528433,"463, Boase Street",Civil Lines,retail,2023-05-12,1,4514.41,8.0,72,7853.2893625,Loyal Customers,1
11,Hardik Dey,9149621604,"50/568, Varghese Chowk",Sikta Mohalla,retail,2023-05-08,1,20447.37,10.0,28,5732.082444444444,Champions,1
12,Daksh Mane,9776205431,"11/85, Menon Chowk",Dubhar,retail,2024-01-14,1,21530.739999999998,6.0,4,10074.828,Champions,1
13,Aryan Bera,9258453521,Not Provided,Sikta Mohalla,retail,2024-04-12,1,3858.62,8.0,271,5890.31,Need Attention,1
14,Ucchal Shetty,9334978881,"H.No. 472
Halder Circle",Bansdih,contractor,2023-04-17,1,8369.21,7.0,72,5832.3025,Promising,1
15,Victor Mangat,9698509918,"47/520
Chahal Marg",Reoti,retail,2024-03-16,1,6067.2300000000005,7.0,35,9415.937285714286,Loyal Customers,1
16,Gaurangi Dugar,9598906879,"94
Mahajan Marg",Sikandarpur,retail,2023-06-26,1,18282.45,7.0,603,6617.315,Promising,1
17,Rushil Tella,9910943524,"16
Palan Ganj",Bansdih,retail,2023-04-06,1,19191.33,9.0,251,4962.2597625,Loyal Customers,1
18,Sara Joshi,9688273030,"H.No. 174, Jaggi Circle",Reoti,retail,2023-04-14,1,10358.48,8.0,133,11267.1549375,Loyal Customers,1
19,Warinder Sharaf,9907214179,"762
Chahal Nagar",Bansdih,retail,2024-01-11,1,2886.19,4.0,86,6776.668875,Need Attention,1
20,Yagnesh Prabhu,9356888294,Not Provided,Kotwali,retail,2023-04-28,1,7255.59,11.0,84,6095.462236363636,Loyal Customers,1
21,Tripti Sha,9460613550,"H.No. 41
Chowdhury",Rasra Road,retail,2023-05-05,1,6929.02,10.0,142,4003.7513200000003,Promising,1
22,Lila Acharya,9511281012,"23
Iyengar Circle",Sikta Mohalla,retail,2023-05-09,1,2411.4,8.0,12,1963.0775625,Loyal Customers,1
23,Vinaya Kadakia,9455281184,"61, Sathe",Civil Lines,retail,2024-07-22,1,5986.08,3.0,288,10146.191466666667,Lost,1
24,Watika Menon,9518197538,"H.No. 63, Bhandari Street",Mau Bazar,painter,2023-12-03,1,12506.73,7.0,133,9863.755714285713,Promising,1
25,Yuvraj Soni,9922050912,"40
Sagar Chowk",Gai Ghat,painter,2023-04-11,1,7082.86,3.0,73,15456.019833333334,Promising,1
26,Yasti Master,9518744974,"897, Dhar Nagar",Dubhar,retail,2023-04-02,1,16343.64,8.0,68,11243.901625,Loyal Customers,1
27,Ishani Khalsa,9888807316,"H.No. 95
Kashyap Marg",Civil Lines,retail,2023-04-02,1,28345.83,10.0,70,11027.012144444445,Champions,1
28,Darsh Din,9393062061,Not Provided,Gai Ghat,retail,2023-10-22,1,8903.0,7.0,5,8153.957571428572,Loyal Customers,1
29,Anusha Bhattacharyya,9956998797,"H.No. 84, Cheema Chowk",Reoti,contractor,2023-05-04,1,12107.12,10.0,139,8245.17276,Loyal Customers,1
30,Bhavna Muni,9768143326,"H.No. 99, Saraf Street",Sikandarpur,painter,2024-03-06,1,2860.13,5.0,96,7756.14608,Need Attention,1
31,Ranveer Banik,9129100607,"H.No. 255, Kalita Nagar",Reoti,contractor,2023-04-03,1,5569.9400000000005,12.0,132,5669.159375,Loyal Customers,1
32,Mitesh Raj,9379340713,"643, Keer Chowk",Gai Ghat,retail,2023-10-13,1,4778.75,5.0,250,5345.74576,Lost,1
33,Luke Tak,9507083673,"73, Kothari Zila",Dubhar,retail,2023-12-06,1,954.0500000000001,5.0,83,7632.40502,Need Attention,1
34,Naksh Dugal,9187946147,"78
Rai Street",Mau Bazar,retail,2023-04-01,1,7936.07,11.0,243,8674.284709090909,Loyal Customers,1
35,Udant Kanda,9475767056,Not Provided,Mau Bazar,painter,2023-10-16,1,18282.579999999998,13.0,56,12460.437899999999,Champions,1
36,Triya Bir,9365518424,Not Provided,Rasra Road,contractor,2023-12-11,1,7521.599999999999,5.0,47,8838.0509,Promising,1
37,Omaja Kurian,9608482316,"H.No. 407, Barad Road",Civil Lines,retail,2024-06-26,1,2610.04,4.0,282,4451.04955,Lost,1
